Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
19/06/2026 16:01:37,sell,1.0,XAUEUR,3641.95,19/06/2026 16:05:00,3636.31,0.0,0.0,56.4,646.75,646.75,56.4,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.06,0.06hrs
19/06/2026 16:02:46,sell,1.0,XAUEUR,3639.26,19/06/2026 16:04:59,3636.3,0.0,0.0,29.6,339.43,339.43,29.6,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.04,0.04hrs
19/06/2026 16:00:06,sell,1.0,XAUUSD,4179.85,19/06/2026 16:04:57,4169.54,0.0,0.0,103.1,1031.0,1031.0,103.1,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.08,0.08hrs
19/06/2026 16:01:53,sell,1.0,XAUUSD,4176.15,19/06/2026 16:04:56,4169.48,0.0,0.0,66.7,667.0,667.0,66.7,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.05,0.05hrs
15/06/2026 19:18:56,buy,0.05,XAGUSD,70.412,18/06/2026 19:00:01,66.059,0.0,-51.24,-43530.0,-1139.49,220.0,9620.0,-1167.49,-44650.0,63,Svr2-7-8_S10_XAU_BUY,71.68,2.99days
16/06/2026 17:11:11,buy,1.0,XAUAUD,6126.81,16/06/2026 17:11:13,6126.61,0.0,0.0,-2.0,-14.15,0.0,0.0,-14.15,-2.0,63,Svr2-7-8_S10_XAU_BUY,0.0,0.00hrs
16/06/2026 17:00:30,buy,1.0,XAUEUR,3739.12,16/06/2026 17:00:33,3738.69,0.0,0.0,-4.3,-49.86,0.0,0.0,-49.86,-4.3,63,Svr2-7-8_S10_XAU_BUY,0.0,0.00hrs
15/06/2026 19:54:14,buy,1.0,XAUEUR,3738.87,16/06/2026 11:19:03,3740.04,0.0,-38.61,11.7,97.1,230.5,23.2,-2573.5,-219.7,63,Svr2-7-8_S10_XAU_BUY,15.41,15.41hrs
15/06/2026 19:52:18,buy,1.0,XAUEUR,3736.7,16/06/2026 11:19:03,3740.06,0.0,-38.61,33.6,351.11,482.2,44.9,-2322.09,-198.0,63,Svr2-7-8_S10_XAU_BUY,15.45,15.45hrs
16/06/2026 10:54:48,buy,1.0,XAUAUD,6135.86,16/06/2026 11:00:17,6137.3,0.0,0.0,14.4,101.67,101.67,14.4,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,0.09,0.09hrs
15/06/2026 19:41:18,buy,1.0,XAUAUD,6132.72,16/06/2026 11:00:17,6137.3,0.0,-68.61,45.8,254.76,254.76,45.8,-2940.5,-406.3,63,Svr2-7-8_S10_XAU_BUY,15.32,15.32hrs
05/06/2026 09:12:18,sell,0.05,XAGUSD,71.938,09/06/2026 14:24:38,68.551,0.0,-0.76,33870.0,845.99,1351.64,54080.0,-384.75,-15390.0,63,VM13-19_S10_XAU_SELL,101.21,4.22days
04/06/2026 14:30:07,sell,0.05,XAGUSD,73.949,09/06/2026 14:24:02,68.553,0.0,-1.12,53960.0,1347.88,1854.03,74190.0,-261.75,-10470.0,63,VM13-19_S10_XAU_SELL,119.9,5.00days
03/06/2026 14:40:49,sell,1.0,XAUEUR,3840.76,03/06/2026 15:32:06,3839.69,0.0,0.0,10.7,124.18,416.82,36.3,-268.35,-23.1,63,VM13-19_S10_XAU_SELL,0.85,0.85hrs
03/06/2026 14:30:40,sell,1.0,XAUEUR,3843.15,03/06/2026 15:32:06,3839.69,0.0,0.0,34.6,401.55,694.31,60.2,-12.78,-1.1,63,VM13-19_S10_XAU_SELL,1.02,1.02hrs
03/06/2026 14:37:34,sell,1.0,XAUAUD,6227.43,03/06/2026 14:46:34,6227.35,0.0,0.0,0.8,5.73,22.94,3.2,-121.86,-17.0,63,VM13-19_S10_XAU_SELL,0.15,0.15hrs
02/06/2026 15:48:00,buy,1.0,XAUEUR,3881.16,03/06/2026 03:00:01,3850.06,0.0,-38.01,-313.5,-3681.16,0.0,0.0,-4906.34,-418.9,63,Svr2-7-8_S10_XAU_BUY,11.2,11.20hrs
02/06/2026 20:00:24,buy,0.05,XAGUSD,75.437,03/06/2026 02:00:01,74.949,0.0,-10.58,-4880.0,-132.58,0.0,0.0,-169.25,-6770.0,63,Svr2-7-8_S10_XAU_BUY,5.99,5.99hrs
02/06/2026 20:07:49,sell,1.0,XAUEUR,3861.08,02/06/2026 20:46:11,3859.52,0.0,0.0,15.6,181.32,262.68,22.6,-297.62,-25.6,63,VM13-19_S10_XAU_SELL,0.64,0.64hrs
02/06/2026 20:00:03,sell,1.0,XAUEUR,3863.09,02/06/2026 20:46:11,3859.56,0.0,0.0,35.3,410.3,496.31,42.7,-63.94,-5.5,63,VM13-19_S10_XAU_SELL,0.77,0.77hrs
02/06/2026 16:00:18,buy,1.0,XAUUSD,4517.03,02/06/2026 16:06:51,4521.41,0.0,0.0,43.8,438.0,438.0,43.8,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,0.11,0.11hrs
02/06/2026 16:00:06,buy,1.0,XAUUSD,4515.1,02/06/2026 16:06:51,4521.36,0.0,0.0,62.6,626.0,626.0,62.6,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,0.11,0.11hrs
01/06/2026 20:30:13,sell,0.05,XAGUSD,75.207,02/06/2026 14:00:00,76.413,0.0,0.49,-12010.0,-299.76,104.49,4160.0,-433.76,-17370.0,63,VM13-19_S10_XAU_SELL,17.5,17.50hrs
28/05/2026 16:31:19,sell,1.0,XAUEUR,3802.63,28/05/2026 16:38:32,3804.23,0.0,0.0,-16.0,-186.16,282.74,24.3,-186.16,-16.0,63,VM13-19_S10_XAU_SELL,0.12,0.12hrs
28/05/2026 16:30:40,sell,1.0,XAUEUR,3806.76,28/05/2026 16:38:32,3804.23,0.0,0.0,25.3,294.38,763.28,65.6,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.13,0.13hrs
28/05/2026 16:18:23,sell,1.0,XAUAUD,6209.73,28/05/2026 16:31:35,6210.81,0.0,0.0,-10.8,-77.0,0.0,0.0,-524.74,-73.6,63,VM13-19_S10_XAU_SELL,0.22,0.22hrs
28/05/2026 16:16:14,sell,1.0,XAUAUD,6215.55,28/05/2026 16:31:35,6210.96,0.0,0.0,45.9,327.25,327.25,45.9,-109.8,-15.4,63,VM13-19_S10_XAU_SELL,0.26,0.26hrs
27/05/2026 22:19:58,sell,1.0,XAUAUD,6231.26,28/05/2026 04:15:16,6227.34,0.0,58.91,39.2,338.47,338.47,39.2,-1072.51,-158.4,63,VM13-19_S10_XAU_SELL,5.92,5.92hrs
27/05/2026 20:22:33,sell,1.0,XAUAUD,6234.04,28/05/2026 04:15:16,6226.97,0.0,58.91,70.7,563.12,563.12,70.7,-873.94,-130.6,63,VM13-19_S10_XAU_SELL,7.88,7.88hrs
27/05/2026 20:02:50,sell,1.0,XAUUSD,4448.07,27/05/2026 20:15:47,4445.77,0.0,0.0,23.0,230.0,431.0,43.1,-268.0,-26.8,63,VM13-19_S10_XAU_SELL,0.22,0.22hrs
27/05/2026 20:00:10,sell,1.0,XAUUSD,4450.4,27/05/2026 20:15:47,4445.75,0.0,0.0,46.5,465.0,664.0,66.4,-35.0,-3.5,63,VM13-19_S10_XAU_SELL,0.26,0.26hrs
18/05/2026 21:00:03,buy,0.05,XAGUSD,76.994,26/05/2026 17:00:03,75.983,0.0,-30.75,-10110.0,-283.5,0.0,0.0,-283.5,-10110.0,63,Svr2-7-8_S10_XAU_BUY,188.0,7.83days
18/05/2026 15:35:04,sell,0.05,XAGUSD,77.057,25/05/2026 16:00:04,77.842,0.0,5.57,-7850.0,-190.68,0.0,0.0,-190.68,-7850.0,63,VM13-19_S10_XAU_SELL,168.42,7.02days
19/05/2026 17:00:04,sell,0.05,XAGUSD,74.248,25/05/2026 16:00:03,77.835,0.0,4.71,-35870.0,-892.04,0.0,0.0,-892.04,-35870.0,63,VM13-19_S10_XAU_SELL,143.0,5.96days
18/05/2026 16:58:02,sell,1.0,XAUAUD,6382.52,18/05/2026 17:02:40,6377.23,0.0,0.0,52.9,379.26,379.26,52.9,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.08,0.08hrs
18/05/2026 16:56:26,sell,1.0,XAUAUD,6384.51,18/05/2026 17:02:40,6376.66,0.0,0.0,78.5,562.78,562.78,78.5,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.1,0.10hrs
18/05/2026 16:00:16,sell,1.0,XAUEUR,3924.76,18/05/2026 16:07:59,3921.34,0.0,0.0,34.2,398.48,398.48,34.2,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.13,0.13hrs
18/05/2026 16:04:59,sell,1.0,XAUEUR,3919.21,18/05/2026 16:07:58,3921.24,0.0,0.0,-20.3,-236.51,0.0,0.0,-236.51,-20.3,63,VM13-19_S10_XAU_SELL,0.05,0.05hrs
15/05/2026 12:50:23,sell,0.05,XAGUSD,76.921,18/05/2026 12:18:31,75.977,0.0,0.81,9440.0,236.81,236.81,9440.0,0.0,0.0,63,VM13-19_S10_XAU_SELL,71.47,2.98days
08/05/2026 03:00:03,sell,0.05,XAGUSD,79.252,18/05/2026 12:18:30,75.98,0.0,6.47,32720.0,824.47,824.47,32720.0,0.0,0.0,63,VM13-19_S10_XAU_SELL,249.31,10.39days
15/05/2026 18:07:35,sell,1.0,XAUAUD,6369.85,15/05/2026 18:20:22,6361.91,0.0,0.0,79.4,567.94,567.94,79.4,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.21,0.21hrs
15/05/2026 18:12:28,sell,1.0,XAUAUD,6365.95,15/05/2026 18:20:21,6361.94,0.0,0.0,40.1,286.83,286.83,40.1,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.13,0.13hrs
15/05/2026 14:32:50,sell,1.0,XAUEUR,3917.39,15/05/2026 14:46:32,3916.22,0.0,0.0,11.7,136.1,136.1,11.7,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.23,0.23hrs
15/05/2026 14:30:06,sell,1.0,XAUEUR,3919.16,15/05/2026 14:46:32,3916.24,0.0,0.0,29.2,339.67,339.67,29.2,0.0,0.0,63,VM13-19_S10_XAU_SELL,0.27,0.27hrs
07/05/2026 19:00:04,buy,0.05,XAGUSD,80.41,12/05/2026 09:49:53,84.061,0.0,-11.4,36510.0,901.35,901.35,36510.0,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,110.83,4.62days
11/05/2026 16:00:04,buy,0.05,XAGUSD,83.716,12/05/2026 09:49:52,84.046,0.0,-3.8,3300.0,78.7,78.7,3300.0,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,17.83,17.83hrs
06/05/2026 19:40:20,buy,1.0,XAUAUD,6485.5,06/05/2026 22:30:47,6487.83,0.0,0.0,23.3,168.63,168.63,23.3,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,2.84,2.84hrs
06/05/2026 19:34:37,buy,1.0,XAUAUD,6482.28,06/05/2026 22:30:47,6487.76,0.0,0.0,54.8,396.61,396.61,54.8,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,2.94,2.94hrs
06/05/2026 19:39:10,buy,1.0,XAUUSD,4689.97,06/05/2026 22:30:26,4696.86,0.0,0.0,68.9,689.0,689.0,68.9,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,2.85,2.85hrs
06/05/2026 19:33:36,buy,1.0,XAUUSD,4687.82,06/05/2026 22:30:26,4696.78,0.0,0.0,89.6,896.0,896.0,89.6,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,2.95,2.95hrs
06/05/2026 16:01:29,buy,1.0,XAUEUR,3989.18,06/05/2026 16:33:13,3989.8,0.0,0.0,6.2,72.85,72.85,6.2,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,0.53,0.53hrs
06/05/2026 15:00:32,buy,1.0,XAUEUR,3986.18,06/05/2026 16:33:13,3989.73,0.0,0.0,35.5,417.12,417.12,35.5,0.0,0.0,63,Svr2-7-8_S10_XAU_BUY,1.54,1.54hrs
