Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
19/06/2026 16:01:37,sell,1.00,XAUEUR,3641.95000,19/06/2026 16:05:00,3636.31000,0.00,0.00,56.40,646.75,646.75,56.40,0.00,0.00,63,VM13-19_S10_XAU_SELL,0.06,0.06hrs
19/06/2026 16:02:46,sell,1.00,XAUEUR,3639.26000,19/06/2026 16:04:59,3636.30000,0.00,0.00,29.60,339.43,339.43,29.60,0.00,0.00,63,VM13-19_S10_XAU_SELL,0.04,0.04hrs
19/06/2026 16:00:06,sell,1.00,XAUUSD,4179.85000,19/06/2026 16:04:57,4169.54000,0.00,0.00,103.10,1031.00,1031.00,103.10,0.00,0.00,63,VM13-19_S10_XAU_SELL,0.08,0.08hrs
19/06/2026 16:01:53,sell,1.00,XAUUSD,4176.15000,19/06/2026 16:04:56,4169.48000,0.00,0.00,66.70,667.00,667.00,66.70,0.00,0.00,63,VM13-19_S10_XAU_SELL,0.05,0.05hrs
15/06/2026 19:18:56,buy,0.05,XAGUSD,70.41200,18/06/2026 19:00:01,66.05900,0.00,-51.24,-43530.00,-1139.49,220.00,9620.00,-1167.49,-44650.00,63,Svr2-7-8_S10_XAU_BUY,71.68,2.99days
16/06/2026 17:11:11,buy,1.00,XAUAUD,6126.81000,16/06/2026 17:11:13,6126.61000,0.00,0.00,-2.00,-14.15,0.00,0.00,-14.15,-2.00,63,Svr2-7-8_S10_XAU_BUY,0.00,0.00hrs
16/06/2026 17:00:30,buy,1.00,XAUEUR,3739.12000,16/06/2026 17:00:33,3738.69000,0.00,0.00,-4.30,-49.86,0.00,0.00,-49.86,-4.30,63,Svr2-7-8_S10_XAU_BUY,0.00,0.00hrs
15/06/2026 19:54:14,buy,1.00,XAUEUR,3738.87000,16/06/2026 11:19:03,3740.04000,0.00,-38.61,11.70,97.10,230.50,23.20,-2573.50,-219.70,63,Svr2-7-8_S10_XAU_BUY,15.41,15.41hrs
15/06/2026 19:52:18,buy,1.00,XAUEUR,3736.70000,16/06/2026 11:19:03,3740.06000,0.00,-38.61,33.60,351.11,482.20,44.90,-2322.09,-198.00,63,Svr2-7-8_S10_XAU_BUY,15.45,15.45hrs
16/06/2026 10:54:48,buy,1.00,XAUAUD,6135.86000,16/06/2026 11:00:17,6137.30000,0.00,0.00,14.40,101.67,101.67,14.40,0.00,0.00,63,Svr2-7-8_S10_XAU_BUY,0.09,0.09hrs
15/06/2026 19:41:18,buy,1.00,XAUAUD,6132.72000,16/06/2026 11:00:17,6137.30000,0.00,-68.61,45.80,254.76,254.76,45.80,-2940.50,-406.30,63,Svr2-7-8_S10_XAU_BUY,15.32,15.32hrs
05/06/2026 09:12:18,sell,0.05,XAGUSD,71.93800,09/06/2026 14:24:38,68.55100,0.00,-0.76,33870.00,845.99,1351.64,54080.00,-384.75,-15390.00,63,VM13-19_S10_XAU_SELL,101.21,4.22days
04/06/2026 14:30:07,sell,0.05,XAGUSD,73.94900,09/06/2026 14:24:02,68.55300,0.00,-1.12,53960.00,1347.88,1854.03,74190.00,-261.75,-10470.00,63,VM13-19_S10_XAU_SELL,119.90,5.00days
03/06/2026 14:40:49,sell,1.00,XAUEUR,3840.76000,03/06/2026 15:32:06,3839.69000,0.00,0.00,10.70,124.18,416.82,36.30,-268.35,-23.10,63,VM13-19_S10_XAU_SELL,0.85,0.85hrs
03/06/2026 14:30:40,sell,1.00,XAUEUR,3843.15000,03/06/2026 15:32:06,3839.69000,0.00,0.00,34.60,401.55,694.31,60.20,-12.78,-1.10,63,VM13-19_S10_XAU_SELL,1.02,1.02hrs
03/06/2026 14:37:34,sell,1.00,XAUAUD,6227.43000,03/06/2026 14:46:34,6227.35000,0.00,0.00,0.80,5.73,22.94,3.20,-121.86,-17.00,63,VM13-19_S10_XAU_SELL,0.15,0.15hrs
02/06/2026 15:48:00,buy,1.00,XAUEUR,3881.16000,03/06/2026 03:00:01,3850.06000,0.00,-38.01,-313.50,-3681.16,0.00,0.00,-4906.34,-418.90,63,Svr2-7-8_S10_XAU_BUY,11.20,11.20hrs
02/06/2026 20:00:24,buy,0.05,XAGUSD,75.43700,03/06/2026 02:00:01,74.94900,0.00,-10.58,-4880.00,-132.58,0.00,0.00,-169.25,-6770.00,63,Svr2-7-8_S10_XAU_BUY,5.99,5.99hrs
02/06/2026 20:07:49,sell,1.00,XAUEUR,3861.08000,02/06/2026 20:46:11,3859.52000,0.00,0.00,15.60,181.32,262.68,22.60,-297.62,-25.60,63,VM13-19_S10_XAU_SELL,0.64,0.64hrs
02/06/2026 20:00:03,sell,1.00,XAUEUR,3863.09000,02/06/2026 20:46:11,3859.56000,0.00,0.00,35.30,410.30,496.31,42.70,-63.94,-5.50,63,VM13-19_S10_XAU_SELL,0.77,0.77hrs
02/06/2026 16:00:18,buy,1.00,XAUUSD,4517.03000,02/06/2026 16:06:51,4521.41000,0.00,0.00,43.80,438.00,438.00,43.80,0.00,0.00,63,Svr2-7-8_S10_XAU_BUY,0.11,0.11hrs
02/06/2026 16:00:06,buy,1.00,XAUUSD,4515.10000,02/06/2026 16:06:51,4521.36000,0.00,0.00,62.60,626.00,626.00,62.60,0.00,0.00,63,Svr2-7-8_S10_XAU_BUY,0.11,0.11hrs
01/06/2026 20:30:13,sell,0.05,XAGUSD,75.20700,02/06/2026 14:00:00,76.41300,0.00,0.49,-12010.00,-299.76,104.49,4160.00,-433.76,-17370.00,63,VM13-19_S10_XAU_SELL,17.50,17.50hrs
28/05/2026 16:31:19,sell,1.00,XAUEUR,3802.63000,28/05/2026 16:38:32,3804.23000,0.00,0.00,-16.00,-186.16,282.74,24.30,-186.16,-16.00,63,VM13-19_S10_XAU_SELL,0.12,0.12hrs
