Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
01/01/1970 00:00:00,balance,0.00,,0.00000,,0.00000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0.00,0.00hrs
20/01/2026 21:00:13,buy,1.00,GBPCHF,1.06132,23/01/2026 11:44:34,1.06910,-5.00,38.84,77.80,1018.14,1018.14,77.80,-288.67,-23.00,1,Dragon Wave_IZ2,62.74,2.61days
20/01/2026 15:00:10,buy,1.00,GBPCHF,1.06305,23/01/2026 11:43:34,1.06874,-5.00,38.84,56.90,753.84,753.84,57.10,-507.91,-40.30,1,Dragon Wave_KZ2,68.72,2.86days
20/01/2026 12:00:07,buy,1.00,AUDNZD,1.15262,22/01/2026 02:30:11,1.15972,-5.00,1.16,71.00,410.73,410.73,71.00,-9.67,-0.80,1,Dragon Wave_KZ2,38.50,1.60days
20/01/2026 04:00:07,buy,1.00,AUDNZD,1.15627,22/01/2026 02:30:02,1.15862,-5.00,1.16,23.50,133.46,133.46,23.50,-226.13,-37.90,1,Dragon Wave_FZ2,46.50,1.94days
20/01/2026 12:00:03,buy,2.50,AUDNZD,1.15254,22/01/2026 02:30:01,1.15891,-12.50,2.89,63.70,920.92,920.92,63.70,-12.50,0.00,1,Dragon Wave_FZ3,38.50,1.60days
20/01/2026 12:00:02,buy,1.00,AUDNZD,1.15255,22/01/2026 02:30:01,1.15863,-5.00,1.16,60.80,351.38,351.38,60.80,-5.58,-0.10,1,Dragon Wave_DZ2,38.50,1.60days
20/01/2026 15:00:06,buy,1.00,GBPCHF,1.06307,21/01/2026 21:42:05,1.06845,-5.00,7.80,53.80,678.12,678.12,53.80,-510.44,-40.50,1,Dragon Wave_FZ2,30.70,1.28days
20/01/2026 15:00:04,buy,1.00,GBPCHF,1.06306,21/01/2026 21:31:56,1.06772,-5.00,7.80,46.60,588.23,588.23,46.60,-509.18,-40.40,1,Dragon Wave_DZ2,30.53,1.27days
20/01/2026 04:00:03,buy,1.00,AUDNZD,1.15626,21/01/2026 17:55:43,1.15775,-5.00,0.07,14.90,82.23,82.23,14.90,-225.54,-37.80,1,Dragon Wave_AZ2,37.93,1.58days
